Code,Name,Name_Chinese,Address,Postcode,City,State,District_Education_Office,Established,X,Y
ABC0050,SEKOLAH JENIS KEBANGSAAN (CINA) PHENG LOK,亚逸君令平乐华小,AIR KUNING,31920,KAMPAR,PERAK,PPD BATANG PADANG,31/12/1926,101.14172,4.187181645
ABC0051,SEKOLAH JENIS KEBANGSAAN (CINA) HWA MIN,地摩华民华小,JALAN STESEN,35350,TEMOH,PERAK,PPD BATANG PADANG,31/12/1939,101.1908565,4.241557769
ABC0052,SEKOLAH JENIS KEBANGSAAN (CINA) SUNGAI KROH,宋溪古罗华小,MAMBANG DI AWAN,31920,KAMPAR,PERAK,PPD BATANG PADANG,10/10/1952,101.1400914,4.219439517
ABC0053,SEKOLAH JENIS KEBANGSAAN (CINA) CHENDERIANG,积莪营华小,"NO.11, JALAN TEMOH",35300,CHENDERIANG,PERAK,PPD BATANG PADANG,4/4/1930,101.2377389,4.263401381
ABC0054,SEKOLAH JENIS KEBANGSAAN (CINA) KHEUNG WA,打巴强华华小,"LOT 1255, JALAN BIDOR",35000,TAPAH,PERAK,PPD BATANG PADANG,31/12/1918,101.262542,4.193794663
ABC0055,SEKOLAH JENIS KEBANGSAAN (CINA) BUKIT PAGAR,打巴宝结百家华小,KAMPUNG BARU BUKIT PAGAR,35000,TAPAH,PERAK,PPD BATANG PADANG,10/9/1952,101.2678616,4.184678877
ABC0056,SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN GETAH,打巴律北根吉打华小,PEKAN GETAH,35400,TAPAH ROAD,PERAK,PPD BATANG PADANG,12/5/1952,101.2241798,4.188137182
ABC0057,SEKOLAH JENIS KEBANGSAAN (CINA) PHUI CHEN,打巴律培正华小,JALAN CHANGKAT PETAI,35400,TAPAH ROAD,PERAK,PPD BATANG PADANG,31/12/1926,101.1909753,4.173431376
ABC0058,SEKOLAH JENIS KEBANGSAAN (CINA) KAMPONG PAHANG,打巴金榜彭亨华小,JALAN PAHANG,35000,TAPAH,PERAK,PPD BATANG PADANG,17/10/1952,101.275288,4.217173
ABC0059,SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN,万岭华联华小,BANIR,35400,TAPAH ROAD,PERAK,PPD BATANG PADANG,1/1/1930,101.1806573,4.209876293
ABC0060,SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HUA (1),美罗中华华小一校,JALAN SEKOLAH,35500,BIDOR,PERAK,PPD BATANG PADANG,31/12/1923,101.2851245,4.1118243
ABC0061,SEKOLAH JENIS KEBANGSAAN (CINA) CHOONG HUA (2),美罗中华华小二校,TAMAN BUKIT,35500,BIDOR,PERAK,PPD BATANG PADANG,2/1/1936,101.2911222,4.121465996
ABC0062,SEKOLAH JENIS KEBANGSAAN (CINA) PIN MIN,美罗火车站平民华小,BIDOR STESEN,35500,BIDOR,PERAK,PPD BATANG PADANG,31/12/1937,101.266144,4.106452
ABC0063,SEKOLAH JENIS KEBANGSAAN (CINA) KG COLDSTREAM,美罗冷水河华小,KAMPONG COLDSTREAM,35500,BIDOR,PERAK,PPD BATANG PADANG,11/9/1946,101.2384859,4.046416733
ABC0064,SEKOLAH JENIS KEBANGSAAN (CINA) TANAH MAS,美罗丹那马士华小,KG BARU TANAH MAS,35500,BIDOR,PERAK,PPD BATANG PADANG,1/1/1951,101.2661687,4.144082836
ABC0065,SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN PASIR,美罗卜干巴沙华小,KAMPUNG BARU PEKAN PASIR,35500,BIDOR,PERAK,PPD BATANG PADANG,31/12/1951,101.2873082,4.068971371
ABC0066,SEKOLAH JENIS KEBANGSAAN (CINA) KUALA BIKAM,美罗瓜拉美金华小,KAMPUNG KUALA BIKAM,35500,BIDOR,PERAK,PPD BATANG PADANG,15/7/1950,101.2409338,4.022887393
ABC0067,SEKOLAH JENIS KEBANGSAAN (CINA) KHAI MENG,宋溪启明华小,SUNGKAI,35600,SUNGKAI,PERAK,PPD BATANG PADANG,31/12/1920,101.310922,3.996934589
ABC1046,SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (1),邦咯岛华联一校,JALAN PASIR BOGAK,32300,PANGKOR,PERAK,PPD MANJUNG,1/1/1951,100.5611895,4.212684942
ABC1047,SEKOLAH JENIS KEBANGSAAN (CINA) HWA LIAN (2),邦咯岛华联二校,SUNGAI PINANG BESAR,32300,PANGKOR,PERAK,PPD MANJUNG,1/1/1966,100.574504,4.219785
ABC1048,SEKOLAH JENIS KEBANGSAAN (CINA) ENG LING,红土坎永宁华小,"LOT 9894, JALAN DESA MANJUNG 2, TAMAN DESA MANJUNG POINT",32200,LUMUT,PERAK,PPD MANJUNG,4/6/1922,100.6563011,4.216041209
ABC1049,SEKOLAH JENIS KEBANGSAAN (CINA) PING MIN,本律平民华小,KG. PUNDUT,32200,LUMUT,PERAK,PPD MANJUNG,7/9/1952,100.6365136,4.211616108
ABC1051,SEKOLAH JENIS KEBANGSAAN (CINA) KUR SENG,实兆远革成华小,KAMPUNG SITIAWAN,32000,SITIAWAN,PERAK,PPD MANJUNG,1/1/1921,100.6919544,4.241287826
ABC1052,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG CHENG,实兆远中正华小,JALAN RAJA OMAR,32000,SITIAWAN,PERAK,PPD MANJUNG,1/1/1920,100.6984351,4.20986509
ABC1053,SEKOLAH JENIS KEBANGSAAN (CINA) UK ING,福清洋育英华小,KG CINA,32000,SITIAWAN,PERAK,PPD MANJUNG,1/1/1922,100.6851633,4.193346569
ABC1054,SEKOLAH JENIS KEBANGSAAN (CINA) CHINESE NATIONAL,甘文阁国民华小,KG. KOH,32000,SITIAWAN,PERAK,PPD MANJUNG,1/1/1919,100.6990635,4.194845948
ABC1055,SEKOLAH JENIS KEBANGSAAN (CINA) UK DIH,甘文阁育智华小,"JLN LEKIR, KG KOH",32000,SITIAWAN,PERAK,PPD MANJUNG,1/1/1918,100.7045904,4.187283096
ABC1056,SEKOLAH JENIS KEBANGSAAN (CINA) CHIEN HUA,二条路建华华小,SIMPANG DUA,32010,SITIAWAN,PERAK,PPD MANJUNG,1/1/1927,100.7284496,4.202358935
ABC1057,SEKOLAH JENIS KEBANGSAAN (CINA) PEKAN GURNEY,格尼市华小,PEKAN GURNEY,32010,SITIAWAN,PERAK,PPD MANJUNG,1/1/1924,100.7465467,4.224031815
ABC1058,SEKOLAH JENIS KEBANGSAAN (CINA) SIMPANG LIMA,五条路华小,SIMPANG LIMA,32010,SITIAWAN,PERAK,PPD MANJUNG,1/1/1952,100.7589291,4.247336415
ABC1059,SEKOLAH JENIS KEBANGSAAN (CINA) KOK MING,新甘光国民华小,KG. BAHARU(L),32400,AYER TAWAR,PERAK,PPD MANJUNG,27/5/1925,100.675061,4.293385
